created_at,pm2_5,pm10,temp,trysnia,lageshtira,alarm_status
2019-09-24T22:36:25+02:00,6.4,18,23.2,99833,91.87,0
2019-09-24T22:37:19+02:00,6.5,19,23.2,99835,91.87,0
2019-09-24T22:38:13+02:00,6.5,19,23.2,99831,91.78,0
2019-09-24T22:39:07+02:00,6.4,19.4,25.4,99837,91.78,0
2019-09-24T22:40:01+02:00,6.4,19.7,24,99832,91.78,0
2019-09-24T22:40:55+02:00,6.4,19.6,23.6,99836,91.64,0
2019-09-24T22:41:49+02:00,6.4,19.5,23.5,99838,91.64,0
2019-09-24T22:42:43+02:00,6.5,19.9,23.5,99844,91.64,0
2019-09-24T22:43:37+02:00,6.5,20,23.5,99842,91.64,0
2019-09-24T22:44:31+02:00,6.5,19.5,23.4,99833,91.64,0
2019-09-24T22:45:25+02:00,6.4,19.3,23.3,99838,91.55,0
2019-09-24T22:46:19+02:00,6.3,18.6,23.3,99824,91.55,0
2019-09-24T22:47:22+02:00,5.3,16,23.3,99835,91.55,0
2019-09-24T22:48:16+02:00,5.3,16,23.3,99841,91.55,0
2019-09-24T22:49:10+02:00,5.3,15.8,23.3,99842,91.55,0
2019-09-24T22:50:04+02:00,5.3,15.1,23.4,99848,91.5,0
2019-09-24T22:50:58+02:00,5.4,16,23.5,99842,91.5,0
2019-09-24T22:51:52+02:00,5.3,15.7,23.5,99851,91.5,0
2019-09-24T22:52:46+02:00,5.4,16.3,23.4,99845,91.5,0
2019-09-24T22:53:40+02:00,5.4,16.2,23.5,99860,91.45,0
2019-09-24T22:54:34+02:00,5.4,16.3,23.4,99859,91.45,0
2019-09-24T22:55:28+02:00,5.5,16.3,23.4,99854,91.45,0
2019-09-24T22:56:22+02:00,5.5,16.1,23.4,99866,91.38,0
2019-09-24T22:57:16+02:00,5.5,15.6,23.3,99859,91.38,0
2019-09-24T22:58:10+02:00,5.5,16.8,23.3,99847,91.38,0
2019-09-24T22:59:04+02:00,5.6,16,23.4,99857,91.38,0
2019-09-24T22:59:58+02:00,5.6,15.9,23.4,99850,91.38,0
2019-09-24T23:00:52+02:00,5.7,15.5,23.3,99848,91.32,0
2019-09-24T23:01:45+02:00,5.7,16.1,23.3,99865,91.32,0
2019-09-24T23:02:39+02:00,5.7,17.2,23.2,99854,91.32,0
2019-09-24T23:03:33+02:00,5.7,18,23.1,99850,91.32,0
2019-09-24T23:04:27+02:00,5.8,18.8,23,99856,91.32,0
2019-09-24T23:05:21+02:00,5.8,19.2,23.1,99850,91.26,0
2019-09-24T23:06:15+02:00,5.8,19.2,23,99857,91.26,0
2019-09-24T23:07:09+02:00,5.9,18.8,23,99859,91.26,0
2019-09-24T23:08:03+02:00,5.9,19.2,23.1,99863,91.26,0
2019-09-24T23:09:00+02:00,6.1,20.1,23.2,99853,91.26,1
2019-09-24T23:09:57+02:00,6,20.4,23.3,99859,91.21,1
2019-09-24T23:10:54+02:00,6,20.3,26.7,99864,91.21,1
2019-09-24T23:11:51+02:00,6.1,20.1,23.7,99869,91.21,1
2019-09-24T23:12:45+02:00,6.1,19.5,23.6,99869,91.21,0
2019-09-24T23:13:39+02:00,6.1,19.7,23.5,99863,91.2,0
2019-09-24T23:14:33+02:00,6,19.7,23.6,99865,91.2,0
2019-09-24T23:15:27+02:00,6,19.2,23.5,99866,91.2,0
2019-09-24T23:16:21+02:00,6.1,19.4,23.4,99877,91.18,0
2019-09-24T23:17:15+02:00,6,19.9,23.2,99854,91.18,0
2019-09-24T23:18:09+02:00,5.9,18.9,23.2,99866,91.18,0
2019-09-24T23:19:03+02:00,5.9,19,23.3,99862,91.18,0
2019-09-24T23:19:57+02:00,5.9,19.4,23.2,99868,91.12,0
2019-09-24T23:20:54+02:00,6,20.5,23.2,99862,91.12,1
2019-09-24T23:21:52+02:00,6,20.6,23.1,99860,91.12,1
2019-09-24T23:22:49+02:00,5.9,20.9,23.1,99862,91.12,1
2019-09-24T23:23:46+02:00,6,21,23.1,99868,91.12,1
2019-09-24T23:24:43+02:00,6.1,21.1,23.1,99863,91.05,1
2019-09-24T23:25:40+02:00,6,20.1,23.2,99871,91.05,1
2019-09-24T23:26:34+02:00,5.9,19.7,23.2,99883,91.05,0
2019-09-24T23:27:27+02:00,5.9,19.7,23.2,99880,91.05,0
2019-09-24T23:28:24+02:00,5.9,22.2,23.2,99875,90.94,1
2019-09-24T23:29:21+02:00,5.9,21.8,23.2,99887,90.94,1
2019-09-24T23:30:18+02:00,5.9,20.6,23.2,99880,90.94,1
2019-09-24T23:31:15+02:00,6,20.7,23.1,99881,90.94,1
2019-09-24T23:32:12+02:00,5.9,20.1,23.1,99904,90.88,1
2019-09-24T23:33:06+02:00,6,19.7,23.1,99880,90.88,0
2019-09-24T23:34:03+02:00,5.9,20.3,23.1,99886,90.88,1
2019-09-24T23:34:57+02:00,5.9,20,23,99877,90.88,0
2019-09-24T23:35:51+02:00,5.9,19.8,23,99883,90.88,0
2019-09-24T23:36:45+02:00,5.8,18.8,23,99884,90.81,0
2019-09-24T23:37:39+02:00,5.8,18.6,22.9,99881,90.81,0
2019-09-24T23:38:33+02:00,5.9,19.9,23,99880,90.81,0
2019-09-24T23:39:27+02:00,5.9,19.9,22.9,99883,90.76,0
2019-09-24T23:40:20+02:00,6,20,22.9,99881,90.76,0
2019-09-24T23:41:14+02:00,6,19.9,22.9,99881,90.76,0
